id_student,regularity_cv,last_minute_ratio,self_initiation_rate,deep_session_share,score_gain_rate,social_evenness,route_entropy,IMI_v1
6516,0.7539859129002685,0.25786163522012584,0.4909365558912387,0.9937106918238994,1.0,0.49056603773584906,0.7465792872707542,0.6762343029774478
8462,0.8237513898171995,0.3035714285714286,0.6842105263157895,1.0,0.3333333333333333,0.14285714285714285,0.8284203332937264,0.5880205934555172
11391,0.839408068800736,0.275,0.5306122448979592,1.0,0.75,0.475,0.6670519990502127,0.6481531875355584
23629,0.8673157277889875,0.375,0.06779661016949153,0.875,0.6666666666666666,0.625,0.5986024126708012,0.5821973453279925
23698,0.743561712508703,0.37142857142857144,0.3836065573770492,0.8857142857142857,1.0,0.21428571428571427,0.7841287206323568,0.6261036517066686
23798,0.8106956030402067,0.18181818181818177,0.3300653594771242,0.8571428571428571,0.4,0.2987012987012987,0.8324253387368239,0.5301212341309275
24186,0.8216767539151775,0.21739130434782605,0.1951219512195122,0.9565217391304348,0.2857142857142857,0.08695652173913043,0.634866737474206,0.4568927562200818
24213,0.8312334730989615,0.2033898305084746,0.5372124492557511,0.9491525423728814,1.0,0.6016949152542372,0.7738072620243379,0.6994986389306633
24391,0.8321503489066016,0.22413793103448276,0.391304347826087,0.9655172413793104,0.125,0.22413793103448276,0.7966332417876263,0.5084115774240844
24734,0.8382101610818269,0.2321428571428571,0.44782608695652176,0.8214285714285714,1.0,0.48214285714285715,0.7040012585881269,0.6465359703343944
25107,0.8157336666308388,0.13043478260869568,0.08030592734225621,0.9739130434782609,0.6,0.6260869565217392,0.5348428503249764,0.5373310324152525
25150,0.8545328394680144,0.23770491803278693,0.49506903353057197,0.9836065573770492,1.0,0.28688524590163933,0.7920804983886167,0.6642684418140968
25261,0.7855397838633481,0.5128205128205128,0.3773006134969325,0.9743589743589743,,0.7692307692307693,0.7361609661532901,0.6925686033206379
25572,0.8028111484419846,0.34782608695652173,0.5932203389830508,0.9565217391304348,1.0,0.043478260869565216,0.6676986590770962,0.630222319065522
25629,0.8470292894788736,1.0,0.0,0.6666666666666666,,0.3333333333333333,0.31508412225754207,0.5270189019560693
25997,,0.0,0.0,0.0,1.0,0.0,0.1892218576437534,0.19820364294062556
26023,0.8075446718122086,0.3214285714285714,0.39622641509433965,0.8809523809523809,0.375,0.19047619047619047,0.7776362904624705,0.535609217175166
26192,0.787889078886755,0.288135593220339,0.7132018209408194,1.0,0.75,0.2711864406779661,0.7120501032659684,0.6460661481416926
26211,0.9428035135811168,0.20564516129032262,0.6254098360655738,0.9919354838709677,0.7272727272727273,0.6169354838709677,0.8502751720743376,0.7086110540037164
26247,0.7890979453334694,0.5555555555555556,0.5202702702702703,1.0,,0.7222222222222222,0.8731950395287066,0.7433901721517039
26315,0.8223468659582712,0.2637362637362637,0.5607779578606159,0.945054945054945,0.75,0.4065934065934066,0.8699846309850006,0.659784867169786
26734,0.7674780919816038,0.31034482758620685,0.5625,0.896551724137931,1.0,0.10344827586206896,0.8313452638945239,0.6388097404946192
26915,0.8303739779521598,0.7142857142857143,0.2903225806451613,0.5714285714285714,,0.5714285714285714,0.6654352041111616,0.60721243664189
27116,0.808412984022179,0.2698412698412699,0.3545197740112994,0.9523809523809523,0.875,0.5714285714285714,0.8372886076958178,0.6669817370542984
27189,0.6946607268592964,0.07547169811320753,0.5264270613107822,0.9811320754716981,0.9090909090909091,0.5471698113207547,0.8664132464131052,0.6571950755113933
27417,0.8117118527724644,0.4,0.4594594594594595,0.95,1.0,0.4,0.865309870444594,0.6980687403823598
27683,0.7638651969201264,0.24,0.67,0.96,0.8181818181818182,0.24,0.8768495073642899,0.6526995032094621
27759,0.8139611647177757,0.3695652173913043,0.3021978021978022,0.8695652173913043,0.6,0.34782608695652173,0.8262885917670941,0.589914868631686
27780,0.8213339300519042,0.1707317073170732,0.6289308176100629,0.926829268292683,1.0,0.07317073170731707,0.7767287012754595,0.6282464508935
27891,0.7949689194798096,0.26086956521739135,0.15625,0.9565217391304348,0.36363636363636365,0.8260869565217391,0.6537241313569155,0.573151096477522
27935,0.7700612028038623,0.16666666666666663,0.6484848484848484,0.9629629629629629,1.0,0.3888888888888889,0.796355592247286,0.6762028802935022
28046,0.7947204116475973,0.13725490196078427,0.5766423357664233,0.9411764705882353,0.8333333333333334,0.37254901960784315,0.8156845629092327,0.6387658622590643
28061,0.8446903775118356,0.2702702702702703,0.6153846153846154,0.9459459459459459,1.0,0.27702702702702703,0.7870901077719616,0.6772011919873794
28400,0.827230336500334,0.3375,0.42790697674418604,0.95,0.75,0.5625,0.7116276668114139,0.6523949971508477
